nama_pengguna,tanggal,ulasan,label_sentimen,nama_layanan kesehatan
Robiatul Hasanah,2 bulan lalu,palayanan sudah cukup .baik. memuaskan cuma kurang senyum,positif,RSIA GLAMOUR HUSADA KEBUN
Mad Indrak,2 bulan lalu,"Pelayanan sangat baik, ramah rumah sakit bersih",positif,RSIA GLAMOUR HUSADA KEBUN
Arsy Almahyra,3 bulan lalu,Bidan dan dokter.nya baik dan ramah ramah puas pelayanannya.sudah 2x op di sini.trimakasih glamour husada,positif,RSIA GLAMOUR HUSADA KEBUN
Rahmania Khomairo',4 bulan lalu,"Palyanannya baagus adminnya ramahh bersih juga rumah sakitnya terimkasih rsia glamour,",positif,RSIA GLAMOUR HUSADA KEBUN
Leo Faqi,seminggu lalu,Pelayanan sangat baik dan ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Rafa Rahmad,4 bulan lalu,Pelayanannya sangat bagus 'karyawannya ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Mas Udah,3 bulan lalu,"Pelayanan baik dan ruangan bersih dan rapi, sukses selalu glamour.",positif,RSIA GLAMOUR HUSADA KEBUN
Deni Iskandar,sebulan lalu,Pelayanan terbaik yg pernah saya alami,positif,RSIA GLAMOUR HUSADA KEBUN
Indra Lesmana,sebulan lalu,"Pelayanan nya baik, dan ramah ramah",positif,RSIA GLAMOUR HUSADA KEBUN
Ifa Nur,2 bulan lalu,Pelayanannya ok dan obatnya bagus Semoga bertambah lancar,positif,RSIA GLAMOUR HUSADA KEBUN
Mahmud Mahmud,3 bulan lalu,"Rumah sakit sangat bersih, pelayanan nyaman, pegawainya sangat ramah dan cantikkk",positif,RSIA GLAMOUR HUSADA KEBUN
Liamalaysia 99,sebulan lalu,Alhamdulillah bisa pulang pelayanannya sangat baik petugasnya ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Ahmad Romli,sebulan lalu,Alhamdulillah pelayanan nya bagus semuanya Alhamdulillah trimakasih,positif,RSIA GLAMOUR HUSADA KEBUN
Sekuat Petir99,sebulan lalu,Pelayanannya sangat baik,positif,RSIA GLAMOUR HUSADA KEBUN
Aji Santoso,2 minggu lalu,Terimakasih atas pelayanan terbaik yang diberikan,positif,RSIA GLAMOUR HUSADA KEBUN
Fatwa Zullivan,6 bulan lalu,"Pelayanan sangat baik , perwatan sangat memuaskan , Bidan Ramah dan murah senyum , Tempat Bersih dan steril.",positif,RSIA GLAMOUR HUSADA KEBUN
Ariza Farhan,2 bulan lalu,"Rsia terbaik, pelayanan ramah, RS nya bersih",positif,RSIA GLAMOUR HUSADA KEBUN
Zahratur Robik,2 bulan lalu,Pelayanannya bagus. Ramah dan nyaman,positif,RSIA GLAMOUR HUSADA KEBUN
Mos Yati,2 bulan lalu,Pelayanan nya bagus sekali,positif,RSIA GLAMOUR HUSADA KEBUN
Rosul Ganesta,2 bulan lalu,Sangat bagus pelayanan setiap jam di kontrol pokoknya bangus,positif,RSIA GLAMOUR HUSADA KEBUN
Maulidil Faisol,3 bulan lalu,Rumah sakit sangat bersih Pelayanan ramah sekali Puas sekali dengan pelayanan rumah sakit,positif,RSIA GLAMOUR HUSADA KEBUN
ABD Qorieb,sebulan lalu,Alhamdulillah Pelayanannya sgt bgus,positif,RSIA GLAMOUR HUSADA KEBUN
VIRUZ GALAXY,3 bulan lalu,Sangat baik pelayanan dan bersih rekomen pokonya,positif,RSIA GLAMOUR HUSADA KEBUN
Holifi Arby,sebulan lalu,Terima kasih bayak atas pelayanan yang luar biasa,positif,RSIA GLAMOUR HUSADA KEBUN
Rohman Binase,3 bulan lalu,Sangat puas....pelayanannya bagus...tempatnya bersih.,positif,RSIA GLAMOUR HUSADA KEBUN
Rizal Anggara,sebulan lalu,Pelayanannya & penanganannya gercep banget beda di tempat2 lainnya,positif,RSIA GLAMOUR HUSADA KEBUN
Holis Ibrahim,3 minggu lalu,Pelayanannya sangat baik gak ad keluhan,positif,RSIA GLAMOUR HUSADA KEBUN
Ulanaulani Ningsih,2 bulan lalu,Pelayanan ramah puas banget ad di RS glamour,positif,RSIA GLAMOUR HUSADA KEBUN
Neng Fitra,4 bulan lalu,"Rumah sakit RSIA glamour sangat nyaman bagi sya,pelayanannya juga bagus",positif,RSIA GLAMOUR HUSADA KEBUN
SMAN 1 Arosbaya,3 bulan lalu,Alhamdulillah Pelayanannya bagus Pegawainya ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Inayatul Fadilah,2 minggu lalu,Trimakasih atas pelanyananya kami sangat puas,positif,RSIA GLAMOUR HUSADA KEBUN
asmali Bantara,3 bulan lalu,Pelayanannya sangat baguss dan pelayanannya ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Semroji Galis,5 bulan lalu,"Terima kasih banyak atas pelayanan nya, Pelayanan yg baik.",positif,RSIA GLAMOUR HUSADA KEBUN
Munadi Hanif,3 bulan lalu,Pelayanan sangat baik.ramah.tempat nya nyaman,positif,RSIA GLAMOUR HUSADA KEBUN
Ichamaulinda Icha,sebulan lalu,"Bagus pelayannya,pegawainya cantik ramah",positif,RSIA GLAMOUR HUSADA KEBUN
Jamik Hartatik,sebulan lalu,Pelayanannya bagus,positif,RSIA GLAMOUR HUSADA KEBUN
Noviani Ayue,2 tahun lalu,"RSIA 24 jam yang recomended bnged.. cukup tenang karena letaknya sdkt jauh dr jln raya dan sangat bersih.. stlh sya slesai tindakan, petugas kebersihan plus satpam nya pun lngsng gercep membersihkan.. dokternya 24 jam siap melayani.. semua bidan, perawat, admin sangat ramah..",positif,RSIA GLAMOUR HUSADA KEBUN
Syaiful Bahri,sebulan lalu,Pelayanannya memuaskan,positif,RSIA GLAMOUR HUSADA KEBUN
Supiyah Supiyah,3 minggu lalu,Pelayanan sgt bgus,positif,RSIA GLAMOUR HUSADA KEBUN
Mila Rianalia,7 bulan lalu,"Pelayanan memuaskan ,perawat baik,ramah ,Dan Tidak sungkan untuk menanyakan pokok nya The Best Banget",positif,RSIA GLAMOUR HUSADA KEBUN
Sami Madura,3 bulan lalu,Terima kasih saya sangat puas dengan pelayanan anda,positif,RSIA GLAMOUR HUSADA KEBUN
Ummal Noer,2 bulan lalu,"Pelayanannya bagus,RS nya bersih",positif,RSIA GLAMOUR HUSADA KEBUN
fnu mujiyanto,7 bulan lalu,Pelayanan bagus. Semua pegawai sangat ramah dan baik.. Terima kasih.,positif,RSIA GLAMOUR HUSADA KEBUN
A sally Adam,7 bulan lalu,"Pelayanannya cepat, dr spesialis anaknya baik, petugas ramah, cara menjelaskannya bagus, rekomendasi sekali bu ibu hamil dan untuk anak",positif,RSIA GLAMOUR HUSADA KEBUN
Cul han,7 bulan lalu,"Tempatnya nyaman , bersih, perawatanya bagus ,Pelayanannya sangat bagus,dokter dan semua bidan /perawat sangat memperhatikan pasien dengan sangat baik. Terima kasih atas pelayanan dan kerja kerasnya",positif,RSIA GLAMOUR HUSADA KEBUN
Jorditya Febiyanti,2 bulan lalu,Semua pelayanan sangat bagus... Terimakasih untuk glamour,positif,RSIA GLAMOUR HUSADA KEBUN
Wira Tirta,sebulan lalu,pelayan baik dokter sama perawatnya ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Dhiqi Madurace,sebulan lalu,Bagus sekali pelayanannya,positif,RSIA GLAMOUR HUSADA KEBUN
Aan Khoirul anam,sebulan lalu,pelayanannya bagus sangat puas,positif,RSIA GLAMOUR HUSADA KEBUN
Muslihah Muslihah,2 bulan lalu,"Pelayanan baik dan nyaman,terimakasih RSIA GLAMOUR HUSADA KEBUN",positif,RSIA GLAMOUR HUSADA KEBUN
Hasifatur Riska,4 bulan lalu,"Pelayanannya ramah, tempatnya nyaman dan bersih",positif,RSIA GLAMOUR HUSADA KEBUN
pendabah bawah,seminggu lalu,Terimakasih sudah membantu kelahiran istri saya,positif,RSIA GLAMOUR HUSADA KEBUN
Fitria Wulan,4 bulan lalu,"Terima kasih,pelayanannya sangat bagus",positif,RSIA GLAMOUR HUSADA KEBUN
Nur Aini,2 bulan lalu,sangat bagus pelayanannya terimakasih banyak untuk rsia glamour,positif,RSIA GLAMOUR HUSADA KEBUN
Aan Ib,11 bulan lalu,"Masya Allah tabarokallah Semoga semakin maju dan Berkembang RSIA Glamor, Alhamdulillah bini'matillah saya Melahirkan anak pertama dg metode SC Eracs dg pelayanan yg sangat memuaskan dan Selama tindakan dr super duper baik dan humble sehingga tidak tegang, dan Alhamdulillah Allah beri kelancaran proses tindakan, Terimakasih banyak atas pelayanannya untuk para dr , prawat dan staf kerabat kerja Berkah selalu.",positif,RSIA GLAMOUR HUSADA KEBUN
SOFIYA,3 bulan lalu,Terimakasih RS bagus dan bersih pelayanannya juga bagus,positif,RSIA GLAMOUR HUSADA KEBUN
Mohammad Faris,sebulan lalu,Alhamdulillah sangat puas untuk pelayanannya..,positif,RSIA GLAMOUR HUSADA KEBUN
Banyuajuh Kamal,2 bulan lalu,Pelayanannya bagus sukses terus buat glamour,positif,RSIA GLAMOUR HUSADA KEBUN
Putri Ramadani,4 bulan lalu,mantap pelayannya petugas di depan ramah dan cantik,positif,RSIA GLAMOUR HUSADA KEBUN
Zahri Channel,sebulan lalu,Pelayanan bagus dan cepat. Terimakasih.,positif,RSIA GLAMOUR HUSADA KEBUN
Yono Ono,3 bulan lalu,pelayanan sangat bagus dan SCnya tidak sakit,positif,RSIA GLAMOUR HUSADA KEBUN
Zidqi Anwar,2 minggu lalu,Sangat puas dengan pelayanan RSIA GLAMOR,positif,RSIA GLAMOUR HUSADA KEBUN
Rudi Hidayat,3 bulan lalu,Bagus pelayanannya,positif,RSIA GLAMOUR HUSADA KEBUN
Sulai Man,3 bulan lalu,Good job glamour istri saya lahiran gg sakit,positif,RSIA GLAMOUR HUSADA KEBUN
Nur Elisa,4 bulan lalu,Pelayanannya cukup baik,positif,RSIA GLAMOUR HUSADA KEBUN
Farez Fareza SScrew,3 bulan lalu,Pelayanan rumah sakit ramah sekali,positif,RSIA GLAMOUR HUSADA KEBUN
Mohammad Ismail,2 minggu lalu,Pelayanan cepat ramah,positif,RSIA GLAMOUR HUSADA KEBUN
Rofiih Doang,sebulan lalu,Alhamdulillah pelayanannya puas,positif,RSIA GLAMOUR HUSADA KEBUN
Hilya Amar,4 bulan lalu,Terimakasih Pelayanannya bagusss dan memuaskan,positif,RSIA GLAMOUR HUSADA KEBUN
Muhammad Romadani,sebulan lalu,alhamdulillah ibuk sama bayinya selamat,positif,RSIA GLAMOUR HUSADA KEBUN
Imron Sadewo,sebulan lalu,Bagus sekali puas,positif,RSIA GLAMOUR HUSADA KEBUN
Alimsaputra Alqurtubi,4 bulan lalu,Bagus pelayanannya,positif,RSIA GLAMOUR HUSADA KEBUN
Na Sirah,sebulan lalu,Alhamdulillah operasi keluarga saya lancar,positif,RSIA GLAMOUR HUSADA KEBUN
Yaya Maria,2 minggu lalu,"Pelayannaya bgus , dan bersih",positif,RSIA GLAMOUR HUSADA KEBUN
win sinyu,4 bulan lalu,Pelayanan bagus mantap jiwa,positif,RSIA GLAMOUR HUSADA KEBUN
Dian Oktafia,7 bulan lalu,USG 5D nya sangat jelass penjelasan dokter nya sangat memuaskan. perawatnya sangat baik,positif,RSIA GLAMOUR HUSADA KEBUN
Moh. Nasrullah,sebulan lalu,Terimakasih ada pelayanannya,positif,RSIA GLAMOUR HUSADA KEBUN
Nodiro Sandi,3 bulan lalu,Untuk pelayanan RSIA glamaour good Joob,positif,RSIA GLAMOUR HUSADA KEBUN
Sukron Lol,setahun lalu,Pelayanan RSIA glamour sangat bagus sekali. Dapat foto gratis untuk bayi Rumah sakitnya sangat bersih Pegawai di glamour sangat ramah sekali Terima kasih RSIA GLAMOUR HUSADA KEBUN,positif,RSIA GLAMOUR HUSADA KEBUN
Hoirul Anam,2 minggu lalu,Sangat bagus dan bagus,positif,RSIA GLAMOUR HUSADA KEBUN
Diana Safara,sebulan lalu,Bagus dan puas,positif,RSIA GLAMOUR HUSADA KEBUN
Oura Sr,2 bulan lalu,Sangat bagus dan puas,positif,RSIA GLAMOUR HUSADA KEBUN
Bang Awi Ibu,setahun lalu,"Pelayanannya sangat baik, dapat foto gratis juga. Terima kasih glamor",positif,RSIA GLAMOUR HUSADA KEBUN
achmad zubaidi,setahun lalu,MasyaAllah tabarakallah Luar biasa,positif,RSIA GLAMOUR HUSADA KEBUN
Nurul Falah,sebulan lalu,Mentap,positif,RSIA GLAMOUR HUSADA KEBUN
Arif avandi tono deri,4 bulan lalu,rekomendasi untuk melahirkan,positif,RSIA GLAMOUR HUSADA KEBUN
Moh Mukib,sebulan lalu,Ini sangat bagus,positif,RSIA GLAMOUR HUSADA KEBUN
Iisntu Imahdatul,seminggu lalu,Sangat baik langsung di layani.. Dokter dan perawatnya ramah tamah... Cocok untuk pengguna BPJS UHC Gak perlu takut..tidak terkena biaya sepersen pun...karna sudah di tanggung UHC,positif,RSIA GLAMOUR HUSADA KEBUN
Amir Ruddin,seminggu lalu,"Saya kerumah sakit ini pelayanannya bagus, dokter dan badannya ramah, baik. Alhamdulillah persalinan Saya berjalan Dengan lancar meskipun lewat Operasi, bagus Pelayanannya Semoga Sukses Terus Jaya Berjalan Dg Baik Semuanya Terimakasih",positif,RSIA GLAMOUR HUSADA KEBUN
Nisrina Amelia,seminggu lalu,Saya lahiran sesar ikut PBJS menurut saya pelayan samasaja degan ikut yg Umun gak beda2in jahitan jugak ok luka CPT kering cuma merutt saya waktu habis oprasi itu bayak darah tu dibawah bongkong saya KLO bisa itu di ganti Jagan sampai pasen sendiri yg ganti Jagan nunggu mau pulang baru di buang itu ajasi merut saya,positif,RSIA GLAMOUR HUSADA KEBUN
Anisatul khoiroh,seminggu lalu,Menurut saya pengalaman di RS sawi hikmah ini mulai saya datang langsung di layani dengan sangat bagus walaupun pakai BPJS dan perawatnya pun sangat sangat tidak membedakan walaupun BPJS dan dokternya pun sangat baik sekali,positif,RSIA Hikmah Sawi
Siti alifyanti,seminggu lalu,"Pelayanannya bagus,saya termasuk pengguna BPJS BPJS maupun umum pelayanan nya sama Tidak ada yang dibedakan",positif,RSIA Hikmah Sawi
Syahril Lah,seminggu lalu,Pelayanan bagus meski sya pakai bpjs Terimakasih semua buat perawat dan dokter nya,positif,RSIA Hikmah Sawi
sahlun Afandi,seminggu lalu,"Saya oprasi di dokter hikmah pelayanan nya bagus,sangat memuaskan kan,walau pakek bpjs",positif,RSIA Hikmah Sawi
Alfin 99,seminggu lalu,Pelayanan bagus dan memuaskan...pertahankan terus pelayanan yg seperti ini....,positif,RSIA Hikmah Sawi
Zainul Ibad,sebulan lalu,"Penasaran pengen USG yang 4D biar tau lebih jelas malah kurang jelas, lebih jelas di Dokter Desak Khayangan Bangkalan meskipun 2D, dan yang lebih mengecewakan lagi si Dokter tidak menjelaskan secara detail, BB bayinya brapa, detak â€¦",negatif,RSIA Hikmah Sawi
Lutviah Sari,2 bulan lalu,"Pernah kesini waktu itu USG usia kandungan 5 minggu, tapi sama dokternya di takut2 in janin nya ga berkembang. Penjelasan nya ngga bgt",negatif,RSIA Hikmah Sawi
Debbie Deboura,4 bulan lalu,"contact person lelet buangett balesnya padahal di jam kerja (padahal datang ke RS pun keadaan sedang sepi, sesibuk apa adminnya?). kadang di chat cuma di read. tolong tingkatkan pelayanan utk admin contact person !",negatif,RSIA Hikmah Sawi
Ainita Fadhilah,5 bulan lalu,"satpam nya ga sopan banget, tolong dong klo cari satpam harusnya di interview dan dikasih training dulu, gini nih klo cari satpam lewat orang dalam!! ga butuh wajah garang klo ga punya sopan santun, udah jelek sok2an banget. tolong di koreksi dong min admin.",negatif,RSIA Hikmah Sawi
Phei Casper,5 bulan lalu,"Sangat2 mengecewakan untuk petugasnya terutama satpannya, tolong di ajarin sopan santun kita pasien di perlakukan sangat buruk...
 Tanpa pasien ini rumah sakit gg bakal laku",negatif,RSIA Hikmah Sawi
Aksa Wiraraja,2 tahun lalu,Banyak peraturan jauh jauh dari Surabaya sampai sini gak boleh masuk meski saudaranya sendiri ... dan tidak pelan pelan dalam berucap dikasarin malah minta Berantem ... kurang sopan santunnya karyawannya ... Masih baru banyak peraturan. â€¦,negatif,RSIA Hikmah Sawi
nurita ambar,10 bulan lalu,"perlu ditingkatkan lagi service dan attitudenya ya,terutama staff(perawat,satpam). masa iya pasien dan tamu dimarahin satpam gara-gara jam besuk. masalah kecil, tapi yang bikin menyakitkan adalah tutur kata oknum tsb. saya tahu hal tsb â€¦",negatif,RSIA Hikmah Sawi
Ifah Uru,10 bulan lalu,"Pelayanan sangat buruk. Daftar ke loket pasien BPJS malah gada respon sama sekali. Bukannya di suruh tunggu dulu, malah meleyot2 jalan pelayanan nya. Kurang ramah, sangat2 mengecewakan. Nunggu hampir sejam tapi gada jawaban apapun. Padahal masih ada poli.",negatif,RSIA Hikmah Sawi
Rico Ruswanto,10 bulan lalu,Pelayanan loket dua kali meriksa kan anak tidak ramah. Pas tau mau pakek BPJS malah dianggurin gk dikasi info klo suruh nunggu poli dulu,negatif,RSIA Hikmah Sawi
salman alfarisi Alfarisi,9 bulan lalu,"Pelayanan nya buruk banget, apalagi satpam nya gk ad sopan santun ny atitude nya jlek banget, orang nya jelek, sok juga, , lebih bagus satpam di RSIA DOKTER HIKMAH,ramah dn sopan",negatif,RSIA Hikmah Sawi
bryan chesia,setahun lalu,"Tidak ada dokter umum apa lagi dokter anak. Anak sy masuk IGD sampai pulang, tdk ada di kunjungi dokter. Ke poli untuk cekup anak, dokter anak tidak ada. Katanya di WA klw dokter udh ada, udah seminggu lebih gk di kabarin wkwkwkw kasian â€¦",negatif,RSIA Hikmah Sawi
Achmad Muarif,setahun lalu,"coba ditinjau lagi pelayanannya, sore datang katanya masih ada tindakan pasien jadi harus nunggu agak lama, dikasih opsi nunggu atau pulang dulu nnti dikabari klo sudah tidak ada antrian",negatif,RSIA Hikmah Sawi
Dwi Marisa,2 tahun lalu,Bad banget . Reservasi untuk jam malem di suruh datengnya sore . Setelah disana malah nunggu 2 jam . Di tanya untuk jam berapa bisanya disuruh cepetan Dateng aja.setalah nyampek malah nunggu lama â€¦,negatif,RSIA Hikmah Sawi
zidan Arhamy,setahun lalu,Dokternya lama ditunda tunda terus dilama lamain biar sewa kamarnya nambah padahal pasien sudah normal dan tadinya perawatnya sudah boleh pulang tapi ditunda tunda terus,negatif,RSIA Hikmah Sawi
SÑ”Ï‡Æ´,setahun lalu,Banyak peraturan aneh Pelayanan buruk,negatif,RSIA Hikmah Sawi
Yuliana Safitri,setahun lalu,Pelayanan sangat lama,negatif,RSIA Hikmah Sawi
HBS C YuLIANa,setahun lalu,Penanganan dan pelayanannya sangat bagus,negatif,RSIA Hikmah Sawi
Media milenial,setahun lalu,Pelayanan buruk,negatif,RSIA Hikmah Sawi
Siti Jufiah,setahun lalu,G bngt pokoknya,negatif, Puskesmas Socah
Indah Kurnia Waty,2 bulan lalu,RSnya blm pro ASI. Setelah lahir langsung di berikan sufor. Tidak rekomen utk ibu yang ingin mengASIhi,negatif, Puskesmas Socah
Elisa Hury,10 bulan lalu,Kemarin lahiran ambil kls 1 Pelayanan nya kurang perawatnya gak ada kalemÂ²nya â€¦,negatif, Puskesmas Socah
Devkykartika Sari,setahun lalu,Pelayanan satpam sangat buruk.Masak yg okname bayi 9bulan yg jaga harus 1 orang . Klu kita mau keluar atau ke kamar mandi siapa yg jaga anak nya apa suster mau jaga. Di rs mana aja minimal 2 â€¦,negatif, Puskesmas Socah
Siti AMINI,3 minggu lalu,Tolong di renofasi Kamar2 ..toilet..dn ruangan nya.karna Udah sangat kotor dn tak layak.. Sakit lambung ..opname di sini Pulang malah nambah sakit panas..karna kebersihan nya kurang..,negatif, Puskesmas Socah
Agustivani Dwi Putri,2 bulan lalu,"Pelayanan lambat, jam buka jam 7 tapi staff yg datang semua rata2 jam setengah delapan, apalagi d poli gigi staff pembantu dokter gigi nya GK ramah payah, yg awalnya antrian pertama jadi antri an no 3 gara2 salah sebut nama orang padahal â€¦",negatif, Puskesmas Socah
asyifa ariana,5 bulan lalu,"Pelayanan tidak ramah, dokter tidak menangani pasien selama pasien dirawat. Payah ðŸ¤£ â€¦",negatif, Puskesmas Socah
Nurul Hasanah,11 bulan lalu,Dalam pelayanan sangat kurang udah saya jelaskan ibu saya darah tinggi 120 aja udah gak kuat 160 aja biasa udah di infus lah ini 180 di kasih obat jalan... Udah diare 2 hari panas 3 hari masih di suruh pulang terus..... Kalau mau kesana harus sekarat dulu tah.,negatif, Puskesmas Socah
Samsul Arifin,2 bulan lalu,Pelayanan buruk dan tidak ramah,negatif, Puskesmas Socah
Masculine's,7 bulan lalu,"Pelayanan kurang baik, nakes nya tidak ramah",negatif, Puskesmas Socah
Mudmainnah Mutmainnah,2 tahun lalu,SANGAT TIDAK MEMUASKAN antrian yg lebih awal jadi paling akhir kalo cuma didahului satu orang gak masalah ini semua orang yg datang setelah saya didahulukan semua ada kemungkinan â€¦,negatif, Puskesmas Socah
Chusnul Hotimah,3 bulan lalu,pelayanannya tidak ramah,negatif, Puskesmas Socah
Mouse Mosi,2 tahun lalu,"Korban kecelakaan penanganan lamban, tidak ada tindakan apapun, hanya bilang kalo pusing ngamar kalo ngk pusing bisa pulang. Blok ini kecelakaan motor bukan sakit migren knt0l",negatif, Puskesmas Socah
Nurul Hakimah,6 tahun lalu,"Pelayanan biasa saja, tidak terlalu memuaskan dan tidak mengecewakan, berusaha untuk bekerja profesional.. Tempatnya bersih.. Parkir tanpa tiker parkir resmi.. â€¦",negatif, Puskesmas Socah
Antony Stevanus,5 tahun lalu,"Pelayanan amat sangat kurang, jam operasional jam brp sih emang nya??? Msak dri jam 8 sampek jam 9.30 msh blm dtng dokter giginya,kmn ja tu dokter",negatif, Puskesmas Socah
Andy Irawan,setahun lalu,"Mengecewakan Dalam Segala Hal, Mending Ketempat Lain",negatif, Puskesmas Socah
Ariel Ibnu,7 bulan lalu,pelayanan tidak ramah,negatif, Puskesmas Socah
Kiki Febriono,11 bulan lalu,Pelayanan buruk & lama,negatif, Puskesmas Socah
Eko Cahyono,5 tahun lalu,"Kurang ramah, kurang melayani",negatif, Puskesmas Socah
Sayber Gaming,2 bulan lalu,"Pelayanan buruk, mau minta surat rujukan tidak bisa, pasiennya tidak bisa kemana-mana karena hamil besar. Kan bisa lewat telfon kalok emang butuh pasiennya. Pelayanan puskesmas terburuk",negatif, Puskesmas Socah
sitifitriyatus saadah1112,2 bulan lalu,"Untung gk bisa rating bintang setengah, bintang 1 pun gk cocok buat PKM ini, mungkin nensi nya pura2 ya, perawatnya bilang normal terus pdhl sebelumnya tensinya tinggi, pas di tensi ulang lagi belum sampai 1 menit katanya tensinya tinggi Apa yang pertama nensi nya pura2",negatif, Puskesmas Socah
Abdul lah,2 bulan lalu,"Pelayanan sangat buruk, anggota puskesmas sering datang terlambat, terkadang menunggu sampai 1 jam sampai bisa 2 jam",negatif, Puskesmas Socah
Girls_kaya Insyaallah,3 bulan lalu,"Pelayanannya sangat kurang, suster yang jaga sift malam sangat kurang ramah. Orang lagi pingsan susternya malah muter muter ga jelas sambil becanda ketawa ketawa maksudnya apaan coba.",negatif, Puskesmas Socah
RusliLmbc t1kt0k,5 bulan lalu,"Layanan KIA superr luamaaaaa lemott luar biasaaa, antrian administrasi dri jam 9 jam 11an baru dipanggil ku ruangan KIAnya, 2 jam blass gk ada panggilan urut ke poli KIA,tak tanya petugas lain petugas KIAnya ada di dalam ruangan....Dri yg rame sampe sepi.....ðŸ˜¤ðŸ˜¤ â€¦",negatif, Puskesmas Socah
Mat Angin,4 bulan lalu,Sangat jelek pelayananya.. Tolong untuk pemerintah perbaiki orang sakit lemes gak bisa makan minta cair gak dilayani maladi kasih obat suruh pulang..,negatif, Puskesmas Socah
Lailatul Fadilah,3 bulan lalu,"Pelayanannya gak jelas lebih baik di tutup,tidak berguna juga dibuka,bukanya sembuh semakin sakit iya,lebih baik di bawa ke Bangkalan aja",negatif, Puskesmas Socah
MH SHOLEH,10 bulan lalu,Perawat dan petugas poskesmas kurang seriyus menangani pasien. Nunggu satu antrian aja lama banget hampir satu jam malah petugas nya banyak malah becanda,negatif, Puskesmas Socah
Dewi Sinta,11 bulan lalu,"Pelayanannya sangat buruk sekali , cuma minta surat rujukan saja sulitnya minta ampun, harus masih bolak balik ke puskesmas sampek berkali-kali pasien nya makin sakit lah , alasan surat belum di print, mesin mati, dah lah, kalau darurat kayaknya bisa meninggal di tempat pusing karena muter-muter.",negatif, Puskesmas Socah
Lionel,sebulan lalu,Perbaiki sistem antriannya!,negatif, Puskesmas Socah
bang ram,2 minggu lalu,dibegal sama tukang parkir. orang tua pasien yang jaga setiap keluar masuk untuk membeli makanan yang diharuskan pake motor pasti dimintai uang lagi. tak perduli bilang saya orang tua pasien saya cuman mau beli makanan. jadi harus bayar bayar dan bayar. dan 1 lagi dokternya kerja tidak sesuai SOP anak saya mau ke kamar mandi malah dipaksa untuk disuntik sampai anak saya pucet semua. seharusnya tunggu masuk ke kamar dulu baru disuntik,negatif, Puskesmas Socah
Ariska Sukmawati,sebulan lalu,saya cm mau blg sm SATPAM nya jgn leyeh2 aja di depan !!!! Pasien ga sadarkan diri bukan nya di info klo kamar lg penuh udah muter2 nempatin mobil biar pasien turun nya enak itupun tanpa di arahin satpam awalnya. pas udh pas bgt mau turun baru satpam nya info kamar penuh? Buang2 waktu kami saja !! Klo emg penuh Satpam tolong stanby jgn sampai pasien muter2 klo tau penuh dan emg ga bisa nerima biar kami lgsg lanjut cari yg lain. Ini malah leyeh2 dlm pos !! Mas2 Yg nunggu di dket pendaftaran juga ga gercep ada pasien malah cuma hp an !!! Plis jgn mau kalah sama kota2 besar disana keliatan mobil psien mau masuk dari depan satpam dan petugas lgsg gercep nyamperin gercep bantu nurunin pasien !!!! gimana mau maju????? Jgn nyepelein nyawa org ya !! Gimana klo itu keluarga kalian? Tolong perbaiki karna kami klo ga urgent ga mungkin dtg ke kalian !Oh ya mba2 atau ibu2 di pendaftaran jgn judes2 ya ga niat kerja pulang aja resign !,negatif, Puskesmas Socah
Nurul Badriyah,4 minggu lalu,"Kamar umum tapi fasilitas kurang baik, saya bpjs kelas 1 tapi kamar kosong di tarok kamar umum, untuk kebersihan dan kelayakan tolong diperbaiki, kamar mandi tidak ada lampu, udah info gk di respon, pelayanan jelek banget",negatif, Puskesmas Socah
Najibur Rohman,sebulan lalu,"Jam 8 masih ngaret. Dikira orang"" kesini buat refresing apa",negatif, Puskesmas Socah
Prasetya Sena,setahun lalu,"USG 2Ã— dokternya selalu gk hadir, Sebaiknya klw gk bs hadir ada pemberitahuan terlebih dhlu/paling tdk ad papan pemberitahuan biar kami gx usah ikut antri mn mbak loketnya jutex",negatif, Puskesmas Socah
Dreams is Ahlam,2 tahun lalu,"Pengalaman tidak nyaman saat di rawat di puskesmas blega, Ada seorang perawat yg sedang merawat luka saya bilang gini: ""... Mbak kan tidak bayar"". saya kaget ko bs blg gt.. dr itu sy ingin segera minta pulang meski badan belum bnr2 pulih â€¦",negatif,Puskesmas burneh
Ririn Rindu,setahun lalu,"1.tempatnya kotor.kamar mandinya juga kotor+bau,sampah berserakan 2.poli KIA.saat anak saya rawat inap ikut umum,malah dipindah di kamar BPJS harus bercampur di kamar orang dewasa...diawal pendaftaran disampaikan sama petugas â€¦",negatif,Puskesmas burneh
Agus Salim,2 tahun lalu,"Dari Jam 03.30 Petugas (Pendafataran / Registrasi ) tidak Ada jadi sampai jam 08.32 tidak dapat kamar karena masih di suruh nunggu petugasnya, Mohon lebih tingkatkan lagi",negatif,Puskesmas burneh
Yusron Abdillah,setahun lalu,Pelayanan kurang masalah kebersihan tidak di jaga,negatif,Puskesmas burneh
